TF	Target	EdgeWeight
POU5F1	ANKRD13C	0.015428256243467331
TRIM28	LIN28A	0.015419308096170425
POU5F1	ZNF202	0.015419301576912403
POU5F1	CTBP1	0.01541627012193203
POU5F1	AIRE	0.015415250323712826
POU5F1	NFYB	0.015413336455821991
CTNNB1	PHF17	0.01540475431829691
POU5F1	RAVER2	0.015401476062834263
TRIM28	HMGA1	0.015398968942463398
EOMES	GATA3	0.015398516319692135
POU5F1	PATZ1	0.015398495830595493
CTNNB1	PAM	0.015394078567624092
POU5F1	CCDC141	0.015391120687127113
TP53	SOX4	0.015388655476272106
POU5F1	SLC19A2	0.01538440864533186
CTNNB1	TFAP4	0.015381296165287495
CTNNB1	NT5DC3	0.015378709882497787
POU5F1	SEMA3A	0.015377623960375786
POU5F1	MCC	0.015374712646007538
CTNNB1	SFPQ	0.015362813137471676
POU5F1	FOXK1	0.01536241639405489
POU5F1	HOMER1	0.015350598841905594
POU5F1	ZBTB10	0.015343221835792065
POU5F1	LIMD1	0.01534060388803482
CTNNB1	UHRF1	0.015340590849518776
CTNNB1	PFKFB2	0.015334060415625572
POU5F1	OXTR	0.015330144204199314
POU5F1	ZBTB38	0.0153249716386199
TRIM28	CTNNB1	0.015324002131819725
POU5F1	ZIC2	0.015319380909204483
CTNNB1	ST8SIA1	0.01531013660132885
CTNNB1	SALL2	0.015307049266994
CTNNB1	DDX54	0.015302708372473717
CTNNB1	JUND	0.015302480198442936
POU5F1	JMJD1C	0.015301541425287724
TRIM28	ALYREF	0.01530091930180788
TRIM28	SF1	0.015296364203095436
POU5F1	PCDH10	0.015294582583010197
POU5F1	ENO1	0.015283116139471531
POU5F1	HELZ	0.01527820061892271
POU5F1	NONO	0.015278146602213383
POU5F1	KDM6A	0.015273626893758774
POU5F1	TTN	0.015271325595676899
POU5F1	NR2C1	0.015270021744072437
POU5F1	APBB2	0.015262399800121784
CTNNB1	DLGAP5	0.015260888263583183
POU5F1	POLR2H	0.015259684063494205
POU5F1	TRIM28	0.015257084742188454
POU5F1	IRF1	0.015251480042934418
POU5F1	GTF3C4	0.015250375494360924
POU5F1	YBX1	0.015247289091348648
POU5F1	TFDP1	0.015246921218931675
CTNNB1	RNPS1	0.015243669971823692
POU5F1	SKA3	0.01524293888360262
POU5F1	UPF2	0.015238812193274498
POU5F1	SOS2	0.01523550320416689
POU5F1	CUX1	0.01523421797901392
POU5F1	FBXO28	0.015229400247335434
CTNNB1	TRDN	0.015229053795337677
CTNNB1	COL4A1	0.01522670965641737
CTNNB1	NR3C1	0.01522059366106987
EOMES	PCDH10	0.01521470956504345
CTNNB1	GATAD2A	0.015210731886327267
POU5F1	GATAD2A	0.015204645693302155
POU5F1	MSX1	0.015200953930616379
POU5F1	TLE1	0.015200757421553135
TP53	SKIL	0.015197872184216976
CTNNB1	CCKBR	0.01519245095551014
POU5F1	ARID3B	0.015188595280051231
EOMES	GABRB2	0.01518785860389471
POU5F1	ALYREF	0.015187178738415241
TRIM28	U2AF1	0.015186724252998829
POU5F1	B3GNT5	0.015171910636126995
POU5F1	RAI14	0.015171108767390251
TRIM28	RNPS1	0.015170819126069546
POU5F1	DRAM2	0.015169401653110981
CTNNB1	MIF	0.015168970450758934
CTNNB1	RBBP4	0.015168438665568829
POU5F1	RNF13	0.015165743418037891
POU5F1	AES	0.015163369476795197
POU5F1	CREB3L2	0.015162324532866478
POU5F1	PHF17	0.015157133340835571
POU5F1	HMGN2	0.015154780820012093
POU5F1	TRIM33	0.015146692283451557
CTNNB1	ARID3B	0.015142207965254784
POU5F1	PLAGL2	0.015137573704123497
POU5F1	PRIC285	0.01513312105089426
POU5F1	DAAM1	0.015132899396121502
CTNNB1	VPS13C	0.015127819031476974
POU5F1	VHL	0.015126721002161503
CTNNB1	KIAA1467	0.01512597780674696
PRDM1	SOX17	0.015124818310141563
POU5F1	POLR2F	0.015120401047170162
CTNNB1	GATM	0.015113678760826588
POU5F1	FZD5	0.015109743922948837
POU5F1	HNRNPAB	0.015108844265341759
POU5F1	POLR2I	0.015108106657862663
CTNNB1	SMARCD1	0.015107551589608192
POU5F1	OTUD6B	0.015105587430298328
POU5F1	RBM14	0.015100453048944473
CTNNB1	FEZ1	0.01510035339742899
POU5F1	EHMT2	0.015100229531526566
CTNNB1	NUSAP1	0.015098812989890575
POU5F1	KHSRP	0.01509641483426094
CTNNB1	WWTR1	0.015093388967216015
CTNNB1	FUS	0.015088980086147785
POU5F1	SUPT7L	0.015088803134858608
POU5F1	ZNF587	0.015084665268659592
POU5F1	POLR3G	0.015083005651831627
TRIM28	ILF3	0.015074620023369789
POU5F1	LRAT	0.015074115246534348
CTNNB1	BMPR1A	0.015069429762661457
TRIM28	PTMA	0.015069025568664074
POU5F1	ELMO1	0.015065440908074379
POU5F1	TMEM47	0.015065084211528301
CTNNB1	POLR1A	0.015064842998981476
POU5F1	KDR	0.015062283724546432
CTNNB1	NFYB	0.015061289072036743
POU5F1	RNPS1	0.015061155892908573
CTNNB1	CAMK2D	0.015057086944580078
POU5F1	ZDHHC21	0.015054794028401375
POU5F1	MEX3C	0.015051765367388725
CTNNB1	HIST1H1B	0.015050901100039482
POU5F1	EOMES	0.015038669109344482
POU5F1	UNC5D	0.015035433694720268
CTNNB1	CPE	0.015035314485430717
CTNNB1	JMJD1C	0.015030493028461933
POU5F1	EPB41L3	0.015027008019387722
CTNNB1	TRIP6	0.01502661406993866
POU5F1	GLDC	0.015025255270302296
POU5F1	CCPG1	0.01502398494631052
TP53	PDGFA	0.015013386495411396
CTNNB1	TLE3	0.015006220899522305
CTNNB1	ZNF280B	0.01500524953007698
POU5F1	HNRNPD	0.015003756619989872
CTNNB1	CUX1	0.01500287838280201
POU5F1	U2AF1	0.015002736821770668
POU5F1	ZNF471	0.015001256950199604
TRIM28	YBX1	0.015000028535723686
CTNNB1	POU5F1	0.014997759833931923
POU5F1	MKI67IP	0.014996066689491272
POU5F1	DNMT3A	0.014995216391980648
CTNNB1	PPP1R9A	0.014981921762228012
POU5F1	NT5DC3	0.014980040490627289
POU5F1	UTP15	0.014979103580117226
CTNNB1	PTGR1	0.0149790458381176
CTNNB1	MRPS30	0.014978764578700066
POU5F1	ZBTB2	0.014978477731347084
CTNNB1	POLR2K	0.014977800659835339
TRIM28	POLR2A	0.014977648854255676
TP53	CTBP1	0.014976901933550835
POU5F1	POU2F1	0.01497641857713461
CTNNB1	PTPRZ1	0.014976255595684052
CTNNB1	SMAD2	0.014975427649915218
POU5F1	TMEM131	0.014973756857216358
POU5F1	PPPDE1	0.014972150325775146
CTNNB1	ATRX	0.014971251599490643
CTNNB1	NFIB	0.014969720505177975
POU5F1	TRIP11	0.014967790804803371
POU5F1	VPS13C	0.014964482747018337
CTNNB1	NFAT5	0.014962351880967617
TRIM28	HDGF	0.014961903914809227
TRIM28	MIF	0.014961048029363155
CTNNB1	SEMA6A	0.014961035922169685
POU5F1	ARHGAP28	0.014960243366658688
CTNNB1	CITED2	0.014957464300096035
CTNNB1	ACTC1	0.014955719001591206
POU5F1	SPPL2A	0.014952738769352436
POU5F1	NFE2L3	0.014943745918571949
CTNNB1	DNAAF2	0.014943231828510761
POU5F1	POLR1A	0.014942822977900505
CTNNB1	E2F3	0.014941246248781681
POU5F1	JUND	0.014939247630536556
POU5F1	PMAIP1	0.014935789629817009
POU5F1	MFAP4	0.014935634098947048
POU5F1	ZNF398	0.014931882731616497
CTNNB1	TRIM2	0.014929883182048798
POU5F1	DCLK1	0.014928014017641544
CTNNB1	ETV1	0.014927923679351807
POU5F1	PRDM14	0.01492209080606699
POU5F1	NR3C1	0.014920961111783981
POU5F1	KRCC1	0.014919065870344639
CTNNB1	ARID3A	0.01491391472518444
POU5F1	E2F3	0.014913083054125309
POU5F1	STIM2	0.014909425750374794
POU5F1	PLSCR4	0.014903671108186245
POU5F1	NXT2	0.01489945687353611
POU5F1	PDCD11	0.0148854311555624
POU5F1	HEG1	0.014885040000081062
CTNNB1	ERCC-00171	0.01488370168954134
CTNNB1	MED14	0.01488353218883276
POU5F1	PFKFB2	0.014881682582199574
CTNNB1	FASTKD3	0.014880113303661346
CTNNB1	RMI1	0.014879805967211723
CTNNB1	LIMD1	0.014878671616315842
EOMES	SEMA3E	0.014877735637128353
POU5F1	PARN	0.014875520952045918
TRIM28	EWSR1	0.01487451046705246
POU5F1	GABRB2	0.014871075749397278
CTNNB1	TFE3	0.014869595877826214
POU5F1	HLA-DRB1	0.014863663353025913
TP53	DNMT3A	0.014861338771879673
POU5F1	EGF	0.014859678223729134
NANOG	POU5F1	0.014857226051390171
POU5F1	C4ORF46	0.014855040237307549
POU5F1	CLGN	0.014850758947432041
CTNNB1	RGS5	0.014849675819277763
CTNNB1	PRPS2	0.014846360310912132
CTNNB1	PBXIP1	0.014843855984508991
POU5F1	RFC3	0.014843515120446682
POU5F1	FUBP1	0.014840969815850258
CTNNB1	ST8SIA4	0.014831401407718658
CTNNB1	FOXN3	0.014829740859568119
POU5F1	PGM2	0.014828664250671864
CTNNB1	HNRNPD	0.014827953651547432
CTNNB1	STAT3	0.014827846549451351
EOMES	SLC39A8	0.014827100560069084
POU5F1	SH3BGRL	0.014826132915914059
CTNNB1	SAP18	0.014825539663434029
POU5F1	GLMN	0.014822548255324364
TRIM28	PDCD11	0.014820610173046589
POU5F1	TCOF1	0.014816508628427982
CTNNB1	ERCC-00074	0.0148157998919487
POU5F1	SATB1	0.014815464615821838
TRIM28	HNRNPAB	0.014815364964306355
POU5F1	BCL11A	0.014813251793384552
POU5F1	POLR2G	0.014812866225838661
CTNNB1	CBFA2T2	0.014812767505645752
TRIM28	SMARCD1	0.014812278561294079
CTNNB1	UPF1	0.014805810526013374
EOMES	EPB41L3	0.014805661514401436
POU5F1	DPH2	0.014805132523179054
POU5F1	SERPINE2	0.014804788865149021
POU5F1	DECR1	0.014799866825342178
POU5F1	PGR	0.01479870080947876
POU5F1	EMB	0.014796392060816288
POU5F1	ZNF764	0.014795277267694473
POU5F1	ABLIM1	0.01479304488748312
TRIM28	CCND1	0.014787575230002403
POU5F1	GCA	0.014779415912926197
TP53	PIP4K2A	0.0147771704941988
CTNNB1	SMAD6	0.014776520431041718
CTNNB1	GABRB3	0.01477387547492981
TRIM28	MAFG	0.014771385118365288
POU5F1	PDE3B	0.014770643785595894
POU5F1	DAXX	0.014769976027309895
POU5F1	FOXH1	0.014768525958061218
CTNNB1	SLITRK2	0.014764652587473392
CTNNB1	KAL1	0.014764051884412766
POU5F1	TEAD4	0.014761305414140224
CTNNB1	MCM4	0.014759105630218983
POU5F1	STAT3	0.014758264645934105
POU5F1	MYCN	0.014756759628653526
POU5F1	ITPR2	0.014755594544112682
POU5F1	PAWR	0.014754190109670162
POU5F1	PHLDB2	0.014750177040696144
POU5F1	PNPLA8	0.0147461649030447
POU5F1	DSCC1	0.014736027456820011
POU5F1	SMARCD1	0.014733754098415375
CTNNB1	ALCAM	0.014732534065842628
CTNNB1	TIMP3	0.014730761758983135
CTNNB1	KLHL28	0.014726311899721622
POU5F1	KLF8	0.014725787565112114
POU5F1	SCD5	0.0147249149158597
POU5F1	EEF1A1	0.014723130501806736
TRIM28	UPF1	0.014716972596943378
TP53	FAM117B	0.014712863601744175
CTNNB1	STK38L	0.014712044969201088
POU5F1	DNMT3B	0.014709767885506153
TRIM28	POU5F1	0.01470386516302824
CTNNB1	C12ORF23	0.014703372493386269
POU5F1	GPSM2	0.01470239832997322
POU5F1	ISCA1	0.014701565727591515
EOMES	CA2	0.014700118452310562
CTNNB1	MXD4	0.014698492363095284
POU5F1	POLR1B	0.014697837643325329
CTNNB1	TDRD7	0.014696530066430569
POU5F1	POLB	0.014695463702082634
POU5F1	ATP11B	0.014694609679281712
POU5F1	PHLDA1	0.014694090001285076
POU5F1	NFAT5	0.01469337660819292
CTNNB1	FAM46A	0.014687330462038517
POU5F1	DPYSL3	0.01468639075756073
POU5F1	SAP18	0.0146857975050807
CTNNB1	SLC39A11	0.014684921130537987
POU5F1	SFRP1	0.014682307839393616
POU5F1	ZNF83	0.014679383486509323
POU5F1	SMG6	0.014679373241961002
POU5F1	GTF2H2	0.01467873901128769
POU5F1	GPC6	0.014678039588034153
POU5F1	MCM4	0.014676164835691452
POU5F1	CA2	0.014676068909466267
CTNNB1	PDCD4	0.014674561098217964
POU5F1	GYPE	0.01467260904610157
JUND	KHSRP	0.014671307988464832
POU5F1	MAP4K3	0.014669219963252544
POU5F1	MME	0.014668221585452557
POU5F1	NOL11	0.014662799425423145
POU5F1	PDGFA	0.014662177301943302
TRIM28	DDX54	0.01466206181794405
POU5F1	TRIM27	0.014658572152256966
POU5F1	SNX16	0.014653485268354416
TRIM28	NPM1	0.014650770463049412
POU5F1	SH3BGRL2	0.014646073803305626
POU5F1	HAS2	0.014642059803009033
POU5F1	GYPA	0.014641673304140568
POU5F1	TMEM64	0.01464120764285326
TRIM28	VHL	0.014640416018664837
POU5F1	ALG6	0.014639868400990963
CTNNB1	TADA1	0.014634747989475727
CTNNB1	PPM1H	0.014630290679633617
TP53	ERCC-00171	0.014629839919507504
CTNNB1	ERCC-00004	0.014628510922193527
POU5F1	PLAU	0.014628320001065731
POU5F1	SALL2	0.014626690186560154
POU5F1	TCF7L1	0.014624509029090405
POU5F1	SAMD3	0.01462385430932045
CTNNB1	ZNF585B	0.014623054303228855
POU5F1	CCND1	0.014621407724916935
POU5F1	RIOK1	0.014612813480198383
TRIM28	HMGN2	0.014611391350626945
CTNNB1	ZNF516	0.014611349441111088
CTNNB1	TEX10	0.014610708691179752
CTNNB1	ZRANB2	0.014610186219215393
POU5F1	MCM5	0.014609749428927898
CTNNB1	ZNF107	0.014606916345655918
CTNNB1	GPC3	0.014606577344238758
POU5F1	CA14	0.014605515636503696
POU5F1	TIPIN	0.014603360556066036
CTNNB1	BCLAF1	0.014599382877349854
CTNNB1	DTL	0.014597617089748383
POU5F1	SMAD6	0.014593072235584259
POU5F1	C3ORF14	0.01459002960473299
POU5F1	ST8SIA1	0.014589419588446617
POU5F1	KLHL12	0.01458707731217146
CTNNB1	RTKN2	0.01458680909126997
CTNNB1	DKK1	0.014584316872060299
POU5F1	POLR2K	0.014584214426577091
EOMES	GRPR	0.01458386518061161
CTNNB1	TMEM47	0.014581128023564816
CTNNB1	KLHL6	0.014580807648599148
POU5F1	TIPARP	0.014580778777599335
POU5F1	LECT1	0.014578165486454964
POU5F1	CBX3	0.01457182690501213
CTNNB1	ERCC-00060	0.014570213854312897
EOMES	MFAP4	0.014568351209163666
POU5F1	THY1	0.01456625945866108
POU5F1	RFXANK	0.014563783071935177
POU5F1	ESRRG	0.014563176780939102
POU5F1	PRKACB	0.01456054300069809
CTNNB1	ERCC-00046	0.014559300616383553
CTNNB1	PLAGL2	0.014551959000527859
CTNNB1	SH3BGRL2	0.014545081183314323
JUND	MSX1	0.014544141478836536
CTNNB1	STK17B	0.014542371034622192
CTNNB1	MAFG	0.014541779644787312
TRIM28	TCOF1	0.014538910239934921
POU5F1	RPL17-C18ORF32	0.014537177048623562
POU5F1	SOX7	0.01453611720353365
POU5F1	PTMA	0.014535979367792606
CTNNB1	PRDM14	0.014535418711602688
CTNNB1	CNBP	0.014535202644765377
POU5F1	TTC27	0.014530063606798649
POU5F1	WLS	0.014527024701237679
POU5F1	NPM1	0.014526539482176304
POU5F1	ILF3	0.014525099657475948
POU5F1	MYBL2	0.01452467031776905
CTNNB1	HMGA1	0.014523664489388466
POU5F1	SNX14	0.014522864483296871
CTNNB1	PLK2	0.014519872143864632
EOMES	TRDN	0.014519563876092434
POU5F1	CITED2	0.014518041163682938
CTNNB1	CA14	0.01451632846146822
CTNNB1	HNRNPAB	0.01451344694942236
POU5F1	RAB31	0.01451015379279852
POU5F1	ASXL1	0.014509102329611778
EOMES	LEPREL1	0.014508452266454697
TRIM28	SALL2	0.014504238963127136
POU5F1	MED16	0.014502192847430706
POU5F1	COL4A6	0.014500509016215801
CTNNB1	SRSF10	0.01449985895305872
CTNNB1	RHOBTB3	0.014499259181320667
POU5F1	ZIC3	0.014496280811727047
CTNNB1	FXR1	0.014496161602437496
POU5F1	VPS54	0.014494805596768856
POU5F1	ATP2B4	0.014494773931801319
EOMES	DKK1	0.014494476839900017
CTNNB1	DNMT3B	0.014493332244455814
CTNNB1	VHL	0.01449042558670044
POU5F1	NCOA6	0.01448338944464922
CTNNB1	C11ORF82	0.014483054168522358
CTNNB1	OXTR	0.014481314457952976
POU5F1	TEAD1	0.014481110498309135
CTNNB1	POLR3G	0.014478649012744427
JUND	ALYREF	0.014477192424237728
CTNNB1	RBFOX2	0.01447707787156105
POU5F1	TCEA1	0.01447670441120863
POU5F1	EPHA4	0.014476118609309196
CTNNB1	HLA-DRB1	0.014475876465439796
CTNNB1	COL1A2	0.014475133270025253
POU5F1	MCM6	0.01447246316820383
POU5F1	ARHGAP42	0.014467045664787292
CTNNB1	CD48	0.0144633324816823
CTNNB1	NFKBIA	0.014460504986345768
POU5F1	BUB1B	0.014458464458584785
POU5F1	WDR5	0.014455249533057213
POU5F1	FBXO5	0.014455234631896019
CTNNB1	KIAA1804	0.014453619718551636
JUND	CYP1B1	0.014451407827436924
CTNNB1	ZNF142	0.014450053684413433
POU5F1	TFE3	0.014441569335758686
CTNNB1	ERCC-00003	0.01443861797451973
POU5F1	RAD51AP1	0.014437936246395111
POU5F1	UBTF	0.0144363883882761
CTNNB1	UTP18	0.014433375559747219
ZFP42	POU5F1	0.014427216723561287
POU5F1	ANKRD26	0.014426052570343018
TRIM28	ODC1	0.014425891451537609
POU5F1	PARP1	0.014425475150346756
POU5F1	SH3RF1	0.014425120316445827
CTNNB1	ZNF589	0.014424229972064495
POU5F1	GPR83	0.014420658349990845
POU5F1	ESPL1	0.014420260675251484
CTNNB1	SLC35A3	0.014416718855500221
POU5F1	CHAF1A	0.014415326528251171
CTNNB1	SUPT7L	0.014413855969905853
CTNNB1	FST	0.014413367956876755
POU5F1	KIAA1109	0.014411970973014832
POU5F1	TDP2	0.014410610310733318
POU5F1	ZNF521	0.014409876428544521
POU5F1	SSB	0.014407088980078697
CTNNB1	JPH1	0.014405561611056328
POU5F1	AFF1	0.014403247274458408
CTNNB1	ID3	0.014402258209884167
CTNNB1	CLDN10	0.014400339685380459
CTNNB1	ZNF398	0.014400067739188671
CTNNB1	AFF4	0.01439625769853592
CTNNB1	COL4A6	0.014396224170923233
CTNNB1	ZCCHC11	0.014395145699381828
CTNNB1	ZNF587	0.014387461356818676
POU5F1	WDR35	0.014383608475327492
TP53	STAT2	0.01438229251652956
TP53	DDAH1	0.014379915781319141
CTNNB1	PALLD	0.014377979561686516
POU5F1	DNAJC2	0.014371957629919052
POU5F1	NAP1L3	0.01436921302229166
CTNNB1	RBPJ	0.014368785545229912
CTNNB1	ABLIM1	0.01436516921967268
TRIM28	TRIP6	0.014364178292453289
CTNNB1	ARHGAP29	0.014362157322466373
POU5F1	EZH2	0.014357230626046658
CTNNB1	CCND1	0.014356582425534725
POU5F1	PROM1	0.01435592770576477
TRIM28	HNRNPK	0.014349224045872688
POU5F1	PPM1H	0.014348963275551796
POU5F1	RNF19A	0.014345967210829258
CTNNB1	MYCT1	0.014345582574605942
CTNNB1	KAT7	0.01434500701725483
CTNNB1	SF1	0.014343990944325924
POU5F1	TEX10	0.014343390241265297
POU5F1	PREPL	0.014343034476041794
POU5F1	ARL4A	0.014341662637889385
TRIM28	GATAD2A	0.01434133667498827
TP53	NONO	0.014340590685606003
CTNNB1	ZFP42	0.014339212328195572
CTNNB1	PHC1	0.014328587800264359
TRIM28	FUS	0.014325608499348164
POU5F1	DPF2	0.014324985444545746
CTNNB1	MBIP	0.014319284819066525
POU5F1	SYNC	0.014313892461359501
CTNNB1	PPARA	0.014311743900179863
POU5F1	CASD1	0.014310668222606182
POU5F1	DNA2	0.014308721758425236
CTNNB1	TRIM33	0.014308387413620949
CTNNB1	MKI67IP	0.01430442649871111
POU5F1	GDAP1	0.01430136151611805
CTNNB1	CRHBP	0.014301293529570103
POU5F1	ZRANB2	0.014301248826086521
POU5F1	APEX1	0.014299487695097923
EOMES	PLSCR4	0.014296862296760082
POU5F1	SNX18	0.014294959604740143
CTNNB1	ZIC3	0.01429347787052393
CTNNB1	ARL4A	0.01429026946425438
POU5F1	MBOAT1	0.014289041049778461
CTNNB1	DNMT1	0.014288966543972492
CTNNB1	HELZ	0.014287324622273445
POU5F1	TJP2	0.014287065714597702
POU5F1	KLF6	0.01428680494427681
CTNNB1	PARP1	0.014286139979958534
CTNNB1	NFIC	0.01428470853716135
CTNNB1	ZNF764	0.0142844682559371
CTNNB1	SNRPD1	0.014282523654401302
POU5F1	MCM7	0.01428176462650299
POU5F1	PSIP1	0.014281217940151691
POU5F1	MAFG	0.014278317801654339
CTNNB1	U2AF1	0.014278287999331951
POU5F1	DCAF6	0.014277804642915726
POU5F1	AMIGO2	0.014276064932346344
